Pos,Pts,Team name,Rg,Best,2nd best,3rd best
93,73,Chinook Old School,Québec,41 (73) Mars Attaque,,
94,69,Brodie's team,Québec,44 (69) Mars Attaque,,
95,69,Melting Pot,"Rimouski,Québec",25 (69) La Flotte,,
96,65,Diskobol,Québec,48 (65) Mars Attaque,,
97,65,Team You-Hou *,St-Jean-sur-Richelieu,41 (65) Coup de Foudre,,
98,64,Cobra Kai,Québec,49 (64) Mars Attaque,,
99,64,Uma Bazooka,Québec,93 (64) Mars Attaque,,
100,63,El Toro,Trois-Rivières,16 (63) Bonne annee,,
101,63,Wolfpack,St-John,16 (63) Fun E nuF,,
102,60,Va-Comme-J’te-Pousse,Québec,75 (34) Mars Attaque,46 (26) Movember,
103,58,Rocco,Québec,54 (58) Mars Attaque,,
104,57,Freez Machines,Québec,55 (57) Mars Attaque,,
105,57,Might and Magic,La Pocatière,26 (57) La Flotte,,
106,49,Mitaines,Québec,62 (49) Mars Attaque,,
107,46,Atomes crochus,"Rimouski,Québec",27 (46) La Flotte,,
108,45,Wannabus,Montréal,46 (26) Bye Bye,47 (19) Movember,
109,44,Myrmidons,"Trois-Rivières,Alma",66 (44) Mars Attaque,,
110,43,Pas-te Toast,Ottawa,18 (43) Bonne annee,,
111,42,Light Weight Team,Québec,68 (42) Mars Attaque,,
112,41,Poilus,Quebec,69 (41) Mars Attaque,,
113,41,KomeBak,"Sherbrooke,Montréal",44 (41) Coup de Foudre,,
114,41,Citrons pressés *,St-Jean-sur-Richelieu,44 (41) Coup de Foudre,,
115,41,Pick-ups,Trois-Rivières,44 (41) Bye Bye,,
116,38,Greengos,Québec,72 (38) Mars Attaque,,
117,36,Nussan Family,Québec,73 (36) Mars Attaque,,
118,33,Licornes,St-Jean-sur-Richelieu,45 (33) Coup de Foudre,,
119,33,Hammocks,Québec,76 (33) Mars Attaque,,
120,32,SoSi Team,Québec,77 (32) Mars Attaque,,
121,30,Jersey Scores,Québec,79 (30) Mars Attaque,,
122,26,Why not coconut,Sherbrooke,46 (26) Coup de Foudre,,
123,26,Colle à dentier,Québec,82 (26) Mars Attaque,,
124,25,Couvercle de plastique,Québec,83 (25) Mars Attaque,,
125,24,Mr Freeze,Québec,84 (24) Mars Attaque,,
126,23,Chapo Poilu,Québec,85 (23) Mars Attaque,,
127,22,Mean Machine,Québec,86 (22) Mars Attaque,,
128,20,Machines Gump,Québec,87 (20) Mars Attaque,,
129,19,Belles gueules,St-Jean-sur-Richelieu,47 (19) Coup de Foudre,,
130,19,MoFOS,Ottawa,21 (19) Bonne annee,,
131,19,Maritime Mercs,all over,88 (19) Mars Attaque,,
132,18,Pick-up AJJUQ,Partout,89 (18) Mars Attaque,,
133,17,Charettes de plastique,Québec,90 (17) Mars Attaque,,
134,16,Style libre,Montréal,91 (16) Mars Attaque,,
135,15,Mammouths laineux,Québec-Rimouski,92 (15) Mars Attaque,,
136,13,Masterchief,Sherbrooke,48 (13) Coup de Foudre,,
137,12,Fence Post,Ottawa,22 (12) Bonne annee,,
138,11,Nordiques,Québec,95 (11) Mars Attaque,,
139,10,Zestes,Montréal,96 (10) Mars Attaque,,
140,9,Rats De Swompe,Montréal,97 (9) Mars Attaque,,
141,8,Promus,Québec,98 (8) Mars Attaque,,
142,7,Les 109,Quebec,99 (7) Mars Attaque,,
143,6,Stéréo,Sherbrooke,100 (6) Mars Attaque,,
144,6,Schweddy Discs,Ottawa,23 (6) Bonne annee,,
145,4,Power Geekers,Québec,101 (4) Mars Attaque,,
146,3,Patriotes,"Sherbrooke,Québec",102 (3) Mars Attaque,,
147,2,Disco planes,Montreal,103 (2) Mars Attaque,,
148,1,Pits pits,Montréal,104 (1) Mars Attaque,,
149,1,Tête dans l'cul,Montréal,24 (1) Bonne annee,,
150,0,Medu,Montréal,52 (0) Bye Bye,,
151,0,Bucks,Buckingham,26 (0) Bonne annee,,
152,0,BUS,Ottawa,25 (0) Bonne annee,,
153,0,Cyclones,Gatineau,29 (0) Bonne annee,,
154,0,Sockeyed,Ottawa,27 (0) Bonne annee,,
