Pos,Pts,Team name,Best,2nd best,3rd best,Provenance
88,86,Anarchy,14 (86) Fun E nuF,,,St-John
89,83,CPX,61 (50) Mars Attaque,45 (33) Bye Bye,,Québec
90,83,Weedeaters,39 (83) Mars Attaque,,,Québec
91,76,Bretzels,16 (63) Oktober Disk,48 (13) Movember,,Montréal
92,74,Moby disk,40 (74) Bye Bye,,,Montréal
93,73,Chinook Old School,41 (73) Mars Attaque,,,Québec
94,69,Brodie's team,44 (69) Mars Attaque,,,Québec
95,69,Melting Pot,25 (69) La Flotte,,,"Rimouski,Québec"
96,65,Diskobol,48 (65) Mars Attaque,,,Québec
97,65,Team You-Hou *,41 (65) Coup de Foudre,,,St-Jean-sur-Richelieu
98,64,Cobra Kai,49 (64) Mars Attaque,,,Québec
99,64,Uma Bazooka,93 (64) Mars Attaque,,,Québec
100,63,Wolfpack,16 (63) Fun E nuF,,,St-John
101,63,El Toro,16 (63) Bonne annee,,,Trois-Rivières
102,60,Va-Comme-J’te-Pousse,75 (34) Mars Attaque,46 (26) Movember,,Québec
103,58,Rocco,54 (58) Mars Attaque,,,Québec
104,57,Freez Machines,55 (57) Mars Attaque,,,Québec
105,57,Might and Magic,26 (57) La Flotte,,,La Pocatière
106,49,Mitaines,62 (49) Mars Attaque,,,Québec
107,46,Atomes crochus,27 (46) La Flotte,,,"Rimouski,Québec"
108,45,Wannabus,46 (26) Bye Bye,47 (19) Movember,,Montréal
109,44,Myrmidons,66 (44) Mars Attaque,,,"Trois-Rivières,Alma"
110,43,Pas-te Toast,18 (43) Bonne annee,,,Ottawa
111,42,Light Weight Team,68 (42) Mars Attaque,,,Québec
112,41,Citrons pressés *,44 (41) Coup de Foudre,,,St-Jean-sur-Richelieu
113,41,Poilus,69 (41) Mars Attaque,,,Quebec
114,41,KomeBak,44 (41) Coup de Foudre,,,"Sherbrooke,Montréal"
115,41,Pick-ups,44 (41) Bye Bye,,,Trois-Rivières
116,38,Greengos,72 (38) Mars Attaque,,,Québec
117,36,Nussan Family,73 (36) Mars Attaque,,,Québec
118,33,Licornes,45 (33) Coup de Foudre,,,St-Jean-sur-Richelieu
119,33,Hammocks,76 (33) Mars Attaque,,,Québec
120,32,SoSi Team,77 (32) Mars Attaque,,,Québec
121,30,Jersey Scores,79 (30) Mars Attaque,,,Québec
122,26,Why not coconut,46 (26) Coup de Foudre,,,Sherbrooke
123,26,Colle à dentier,82 (26) Mars Attaque,,,Québec
124,25,Couvercle de plastique,83 (25) Mars Attaque,,,Québec
125,24,Mr Freeze,84 (24) Mars Attaque,,,Québec
126,23,Chapo Poilu,85 (23) Mars Attaque,,,Québec
127,22,Mean Machine,86 (22) Mars Attaque,,,Québec
128,20,Machines Gump,87 (20) Mars Attaque,,,Québec
129,19,Belles gueules,47 (19) Coup de Foudre,,,St-Jean-sur-Richelieu
130,19,Maritime Mercs,88 (19) Mars Attaque,,,all over
131,19,MoFOS,21 (19) Bonne annee,,,Ottawa
132,18,Pick-up AJJUQ,89 (18) Mars Attaque,,,Partout
133,17,Charettes de plastique,90 (17) Mars Attaque,,,Québec
134,16,Style libre,91 (16) Mars Attaque,,,Montréal
135,15,Mammouths laineux,92 (15) Mars Attaque,,,Québec-Rimouski
136,13,Masterchief,48 (13) Coup de Foudre,,,Sherbrooke
137,12,Fence Post,22 (12) Bonne annee,,,Ottawa
138,11,Nordiques,95 (11) Mars Attaque,,,Québec
139,10,Zestes,96 (10) Mars Attaque,,,Montréal
140,9,Rats De Swompe,97 (9) Mars Attaque,,,Montréal
141,8,Promus,98 (8) Mars Attaque,,,Québec
142,7,Les 109,99 (7) Mars Attaque,,,Quebec
143,6,Stéréo,100 (6) Mars Attaque,,,Sherbrooke
144,6,Schweddy Discs,23 (6) Bonne annee,,,Ottawa
145,4,Power Geekers,101 (4) Mars Attaque,,,Québec
146,3,Patriotes,102 (3) Mars Attaque,,,"Sherbrooke,Québec"
147,2,Disco planes,103 (2) Mars Attaque,,,Montreal
148,1,Pits pits,104 (1) Mars Attaque,,,Montréal
149,1,Tête dans l'cul,24 (1) Bonne annee,,,Montréal
150,0,Medu,52 (0) Bye Bye,,,Montréal
151,0,Bucks,26 (0) Bonne annee,,,Buckingham
152,0,BUS,25 (0) Bonne annee,,,Ottawa
153,0,Cyclones,29 (0) Bonne annee,,,Gatineau
154,0,Sockeyed,27 (0) Bonne annee,,,Ottawa
